id,ts,question,city,signal,token_id,price,size,spend,ev,ev_dollar,kelly,our_prob,mkt_price,sigma,mode,clob_spread,clob_edge_at_fill,resolved,resolution_price,pnl,won,resolved_at,meta
208,2026-04-05T21:03:13.898460+00:00,EXIT: Paris | OBS_PASSED: obs=48.2F > bin_hi=1F and cooling,Paris,EXIT_SELL_ALL,64671518591979672101815467700413684305322020683064202319728432542079699772462,0.022,10.0,0.21999999999999997,0.0,0.0,0.0,0.0,2.2,,PAPER,,,,,,,,{}
209,2026-04-05T21:03:13.900166+00:00,EXIT: Buenos Aires | OBS_PASSED: obs=66.2F > bin_hi=1F and cooling,Buenos Aires,EXIT_SELL_ALL,59995916155219515466352203919183682640211436420740598928509751245102745029317,0.009,45.0,0.40499999999999997,0.0,0.0,0.0,0.0,0.9,,PAPER,,,,,,,,{}
210,2026-04-05T21:03:13.902036+00:00,EXIT: Mexico City | OBS_PASSED: obs=78.8F > bin_hi=1F and cooling,Mexico City,EXIT_SELL_ALL,97332165912858933060963380353442706635481067396213685599220975531102456599787,0.03,14.7,0.44099999999999995,0.0,0.0,0.0,0.0,3.0,,PAPER,,,,,,,,{}
211,2026-04-05T21:03:13.903305+00:00,EXIT: Seattle | OBS_PASSED: obs=64.0F > bin_hi=1F and cooling,Seattle,EXIT_SELL_ALL,85223151620249125787608477937551426999597247096401983601143006474089080411794,0.01,15.0,0.15,0.0,0.0,0.0,0.0,1.0,,PAPER,,,,,,,,{}
212,2026-04-05T21:03:13.904252+00:00,EXIT: Singapore | OBS_PASSED: obs=82.4F > bin_hi=1F and cooling,Singapore,EXIT_SELL_ALL,69504624682312771368418863771771566357597221724496377247757479175580422411367,0.004,15.0,0.06,0.0,0.0,0.0,0.0,0.4,,PAPER,,,,,,,,{}
213,2026-04-05T21:03:13.904855+00:00,EXIT: Buenos Aires | OBS_PASSED: obs=66.2F > bin_hi=1F and cooling,Buenos Aires,EXIT_SELL_ALL,12712423932235557409186719100818250804516006518483778715208856491003327574404,0.002,13.639999999999999,0.02728,0.0,0.0,0.0,0.0,0.2,,PAPER,,,,,,,,{}
214,2026-04-05T21:03:13.905573+00:00,EXIT: Sao Paulo | OBS_PASSED: obs=75.2F > bin_hi=1F and cooling,Sao Paulo,EXIT_SELL_ALL,27433099813000784352563941860322888451655187208094176892706518420264232355460,0.011,47.0,0.517,0.0,0.0,0.0,0.0,1.1,,PAPER,,,,,,,,{}
215,2026-04-05T21:03:13.907347+00:00,EXIT: Chicago | OBS_PASSED: obs=53.1F > bin_hi=1F and cooling,Chicago,EXIT_SELL_ALL,88765382803007363571172593871042633438077539225572013738609152233858566967706,0.12,10.0,1.2,0.0,0.0,0.0,0.0,12.0,,PAPER,,,,,,,,{}
216,2026-04-06T00:12:40.703212+00:00,Will the highest temperature in Beijing be 15°C on April 7?,Beijing,BUY YES,93062708670233253111350818491065170924150528320677483561723472850586264602718,0.28,7.0,1.9600000000000002,39.1,162.9,51.4,63.1,24.0,,PAPER,38.3,122.0,,,,,,"{""data_quality"": ""good"", ""edge_pp"": 39.1, ""spread_pct"": 38.3, ""depth_usd_side"": 7.0, ""price_cents"": 28.0, ""station_confidence"": 2.0, ""obs_age_minutes"": null, ""bias_correction_f"": 0.0, ""bias_confidence"": ""low"", ""sigma_floor_used"": 2.0, ""ev_addon_used"": 5.0, ""min_ev_base_pp"": 5.0, ""min_ev_final_pp"": 10.0, ""size_mult_used"": 0.7, ""station_rmse"": 1.02, ""station_n"": 8, ""penalty_cap_hit"": true, ""station_drifting"": false, ""drift_shift_f"": 0.0, ""ev_addon_reasons"": [""NOISY"", ""LOW_N""], ""depth_cap_applied"": true, ""depth_cap_value_usd"": 1.75, ""spend_pre_cap"": 3.67, ""meta_proof_bypass"": false}"
217,2026-04-06T00:15:55.970220+00:00,Will the highest temperature in Tokyo be 16°C on April 7?,Tokyo,BUY YES,77287437388602254619860672742890137911607516839512484721734903369888748653588,0.11,11.0,1.21,19.2,208.7,21.1,28.4,9.2,,PAPER,8.4,151.4,,,,,,"{""data_quality"": ""good"", ""edge_pp"": 19.2, ""spread_pct"": 8.4, ""depth_usd_side"": 4.58, ""price_cents"": 11.0, ""station_confidence"": 2.0, ""obs_age_minutes"": null, ""bias_correction_f"": -0.49, ""bias_confidence"": ""medium"", ""sigma_floor_used"": 1.0, ""ev_addon_used"": 0.0, ""min_ev_base_pp"": 5.0, ""min_ev_final_pp"": 5.0, ""size_mult_used"": 1.0, ""station_rmse"": 1.15, ""station_n"": 19, ""penalty_cap_hit"": false, ""station_drifting"": false, ""drift_shift_f"": 0.0, ""ev_addon_reasons"": [], ""depth_cap_applied"": true, ""depth_cap_value_usd"": 1.15, ""spend_pre_cap"": 5.25, ""meta_proof_bypass"": false}"
